"State","year","vals"
"Alabama","1917",14.69934464
"Alaska","1917",NA
"Arizona","1917",12.01975441
"Arkansas","1917",11.41971397
"California","1917",15.38890266
"Colorado","1917",13.65075207
"Connecticut","1917",19.56022453
"Delaware","1917",38.89987564
"District of Columbia","1917",21.67167473
"Florida","1917",18.00313187
"Georgia","1917",15.48715973
"Hawaii","1917",NA
"Idaho","1917",7.260325909
"Illinois","1917",17.08991623
"Indiana","1917",11.74697495
"Iowa","1917",6.500029564
"Kansas","1917",9.487429619
"Kentucky","1917",15.2688036
"Louisiana","1917",16.92733765
"Maine","1917",17.48407745
"Maryland","1917",22.46443939
"Massachusetts","1917",23.45312119
"Michigan","1917",16.41001129
"Minnesota","1917",12.84870911
"Mississippi","1917",12.09571266
"Missouri","1917",17.31925583
"Montana","1917",9.649747849
"Nebraska","1917",6.545489788
"Nevada","1917",9.330578804
"New Hampshire","1917",17.89487076
"New Jersey","1917",19.99913979
"New Mexico","1917",11.50908852
"New York","1917",27.48387909
"North Carolina","1917",14.0365715
"North Dakota","1917",6.483870506
"Ohio","1917",17.53474236
"Oklahoma","1917",12.88946247
"Oregon","1917",13.18119526
"Pennsylvania","1917",19.2507534
"Rhode Island","1917",21.63440895
"South Carolina","1917",9.913818359
"South Dakota","1917",3.985504866
"Tennessee","1917",16.62802315
"Texas","1917",15.70112514
"Utah","1917",11.99528885
"Vermont","1917",18.59001923
"Virginia","1917",15.33055973
"Washington","1917",12.91682243
"West Virginia","1917",14.55247879
"Wisconsin","1917",14.22160053
"Wyoming","1917",12.13135147
"Alabama","1918",11.71613216
"Alaska","1918",NA
"Arizona","1918",11.88272095
"Arkansas","1918",11.90188694
"California","1918",15.22562027
"Colorado","1918",10.53810787
"Connecticut","1918",17.37902069
"Delaware","1918",33.79666901
"District of Columbia","1918",19.27951813
"Florida","1918",18.23363113
"Georgia","1918",17.27257156
"Hawaii","1918",NA
"Idaho","1918",6.033923149
"Illinois","1918",16.44830894
"Indiana","1918",10.53300762
"Iowa","1918",6.209721088
"Kansas","1918",8.973793983
"Kentucky","1918",14.81518841
"Louisiana","1918",18.84456635
"Maine","1918",14.69406033
"Maryland","1918",18.73431206
"Massachusetts","1918",21.29429436
"Michigan","1918",15.53290367
"Minnesota","1918",12.39565754
"Mississippi","1918",11.88904953
"Missouri","1918",16.41902161
"Montana","1918",9.034058571
"Nebraska","1918",5.896680355
"Nevada","1918",8.010654449
"New Hampshire","1918",14.93786335
"New Jersey","1918",17.44074249
"New Mexico","1918",9.10198307
"New York","1918",26.54458618
"North Carolina","1918",16.44498634
"North Dakota","1918",5.632072926
"Ohio","1918",13.46286297
"Oklahoma","1918",13.18151665
"Oregon","1918",11.91535091
"Pennsylvania","1918",15.26546192
"Rhode Island","1918",19.99711609
"South Carolina","1918",11.31322861
"South Dakota","1918",3.755089521
"Tennessee","1918",16.81967163
"Texas","1918",16.37926865
"Utah","1918",9.729881287
"Vermont","1918",16.4833374
"Virginia","1918",14.00015068
"Washington","1918",9.640171051
"West Virginia","1918",9.920511246
"Wisconsin","1918",12.73008728
"Wyoming","1918",13.23756886
"Alabama","1919",13.43721199
"Alaska","1919",NA
"Arizona","1919",10.07615185
"Arkansas","1919",10.05204105
"California","1919",15.38722134
"Colorado","1919",12.37408733
"Connecticut","1919",16.99032402
"Delaware","1919",31.23406029
"District of Columbia","1919",18.60202599
"Florida","1919",15.9705286
"Georgia","1919",15.58947754
"Hawaii","1919",NA
"Idaho","1919",6.565139294
"Illinois","1919",16.43864822
"Indiana","1919",10.96625805
"Iowa","1919",6.792692661
"Kansas","1919",9.242832184
"Kentucky","1919",13.36449718
"Louisiana","1919",17.83685303
"Maine","1919",13.14228058
"Maryland","1919",18.98906136
"Massachusetts","1919",21.04996109
"Michigan","1919",16.37661743
"Minnesota","1919",11.94877243
"Mississippi","1919",12.48675632
"Missouri","1919",17.43270493
"Montana","1919",8.054840088
"Nebraska","1919",8.125617027
"Nevada","1919",8.70704937
"New Hampshire","1919",12.48111439
"New Jersey","1919",17.12682533
"New Mexico","1919",12.11496353
"New York","1919",27.17924309
"North Carolina","1919",14.3288269
"North Dakota","1919",6.427268028
"Ohio","1919",15.6799612
"Oklahoma","1919",13.49218273
"Oregon","1919",11.50678825
"Pennsylvania","1919",17.1329422
"Rhode Island","1919",19.23795891
"South Carolina","1919",9.108160973
"South Dakota","1919",5.266072273
"Tennessee","1919",16.96542168
"Texas","1919",14.76657677
"Utah","1919",9.631211281
"Vermont","1919",15.6059618
"Virginia","1919",12.67939854
"Washington","1919",10.70271778
"West Virginia","1919",12.50353432
"Wisconsin","1919",12.82160854
"Wyoming","1919",7.802554607
"Alabama","1920",12.32191658
"Alaska","1920",NA
"Arizona","1920",8.484786987
"Arkansas","1920",9.783608437
"California","1920",13.05725765
"Colorado","1920",11.41890335
"Connecticut","1920",14.46573353
"Delaware","1920",21.4893856
"District of Columbia","1920",16.79376793
"Florida","1920",15.67060661
"Georgia","1920",15.14539051
"Hawaii","1920",NA
"Idaho","1920",5.863729954
"Illinois","1920",16.34329605
"Indiana","1920",9.937562943
"Iowa","1920",7.318937302
"Kansas","1920",9.322631836
"Kentucky","1920",13.4475708
"Louisiana","1920",14.53402901
"Maine","1920",12.2214756
"Maryland","1920",17.31545067
"Massachusetts","1920",16.87432289
"Michigan","1920",13.19994164
"Minnesota","1920",11.8829546
"Mississippi","1920",11.27332497
"Missouri","1920",17.27302742
"Montana","1920",7.898468018
"Nebraska","1920",8.755442619
"Nevada","1920",6.921573639
"New Hampshire","1920",11.11259747
"New Jersey","1920",15.98333645
"New Mexico","1920",10.34800816
"New York","1920",21.48795891
"North Carolina","1920",14.31053257
"North Dakota","1920",7.720784187
"Ohio","1920",13.78528881
"Oklahoma","1920",13.78877544
"Oregon","1920",9.86887455
"Pennsylvania","1920",16.24449539
"Rhode Island","1920",18.28618622
"South Carolina","1920",10.86668873
"South Dakota","1920",6.861358166
"Tennessee","1920",16.33580399
"Texas","1920",12.51719952
"Utah","1920",8.505629539
"Vermont","1920",13.88884735
"Virginia","1920",12.36897182
"Washington","1920",8.637206078
"West Virginia","1920",9.317344666
"Wisconsin","1920",12.91308308
"Wyoming","1920",5.492296219
"Alabama","1921",13.7149744
"Alaska","1921",NA
"Arizona","1921",8.598173141
"Arkansas","1921",10.8047514
"California","1921",13.7338438
"Colorado","1921",12.01922512
"Connecticut","1921",16.87301254
"Delaware","1921",22.32103157
"District of Columbia","1921",13.73854446
"Florida","1921",15.34899712
"Georgia","1921",14.97041035
"Hawaii","1921",NA
"Idaho","1921",6.020228386
"Illinois","1921",14.93252277
"Indiana","1921",11.17294788
"Iowa","1921",9.028697014
"Kansas","1921",9.424743652
"Kentucky","1921",14.20957851
"Louisiana","1921",13.33959961
"Maine","1921",13.35020828
"Maryland","1921",19.0505085
"Massachusetts","1921",17.10801506
"Michigan","1921",14.37677193
"Minnesota","1921",12.76007271
"Mississippi","1921",12.15756702
"Missouri","1921",15.81838131
"Montana","1921",9.046267509
"Nebraska","1921",10.17517471
"Nevada","1921",8.358239174
"New Hampshire","1921",11.65902615
"New Jersey","1921",16.84342766
"New Mexico","1921",11.51633835
"New York","1921",21.15302467
"North Carolina","1921",13.82522297
"North Dakota","1921",9.27709198
"Ohio","1921",14.79372978
"Oklahoma","1921",13.16946411
"Oregon","1921",10.48165703
"Pennsylvania","1921",15.83304214
"Rhode Island","1921",18.88603401
"South Carolina","1921",12.11976337
"South Dakota","1921",8.94999218
"Tennessee","1921",15.98314762
"Texas","1921",12.46272755
"Utah","1921",9.549225807
"Vermont","1921",13.66406918
"Virginia","1921",12.98071194
"Washington","1921",10.14112663
"West Virginia","1921",10.23585224
"Wisconsin","1921",12.41004658
"Wyoming","1921",6.424910069
"Alabama","1922",14.40902042
"Alaska","1922",NA
"Arizona","1922",9.957972527
"Arkansas","1922",11.91493416
"California","1922",14.58980179
"Colorado","1922",13.9623251
