"State","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Alabama",14.69934464,11.71613216,13.43721199,12.32191658,13.7149744,14.40902042,13.67565441,14.84949207,16.15468788,15.4890995,15.91982555,17.99867439,14.54164028,14.68599224,14.77752876,15.12842083,14.81413746,14.21224022,14.54164028,16.1590786,15.88813686,15.32300186,16.48368073,16.68818855,16.29079819,13.56399918,12.14904213,10.46419811,10.97299099,13.48733425,12.2632494,12.16616535,11.69960022,13.04975224,11.45962334,10.56210041,9.846119881,10.86018562,11.08806992,10.5114603,9.757862091,10.22345066,10.58468246,9.931370735,9.350663185,9.506201744,10.04532528,11.37712097,11.08544731,10.76857853,10.53176212,10.85171795,10.16917801,9.476951599,10.03174973,9.976192474,9.556977272,9.616834641,9.451067924,9.510318756,9.936615944,9.364099503,9.993279457,10.0110445,9.347866058,10.65956593,11.21325397,11.71527863,12.44274712,15.30971718,11.5369339,13.58374023,12.78934288,12.40133572,12.08644009,13.13933563,12.65707779,13.31935692,13.88619804,14.44807625,15.83560181,16.48252678,16.47875404,16.00579071,14.74911404,14.14912605,14.65053749,16.12270927,18.47659492,20.4224472,19.98053169,17.85739899,15.33664799,16.74658585,16.14173126,16.65284157,14.54250717
"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.177683353,4.859967232,5.471930027,4.704111099,4.686896324,4.855094433,5.192546844,4.557161808,4.745443344,5.459494114,5.187546253,4.956270218,5.290911198,5.237933636,5.59992218,4.961171627,4.235769749,4.013024807,4.567631721,4.764849186,5.255713463,5.327894688,6.077020645,6.058968544,8.105787277,8.170892715,8.114345551,8.869695663,7.61239624,8.496770859,8.205978394,11.33475685,8.327889442,8.877975464,8.575756073,8.7202034,8.948009491,9.738123894,10.29881668,11.37452221,10.54658985,11.64512539,10.30705166,10.22462559,11.13944244,11.81898785,12.46887112,13.39634705,13.90085888,13.88281822,12.38206482,12.306077,11.57385254,12.96111774,11.1204586
"Arizona",12.01975441,11.88272095,10.07615185,8.484786987,8.598173141,9.957972527,9.22690773,10.65065479,14.55007076,14.24377441,14.99483967,17.87656403,14.66832542,12.24359608,11.66787148,11.25609303,10.95103168,11.86770439,12.22613335,14.16775608,13.12240887,11.77657604,11.98189735,12.08398724,12.56807899,11.65816975,9.607420921,9.215340614,10.61450672,11.80010509,10.18730831,11.31260777,10.22103596,13.82903481,11.59418678,10.58053684,8.810814857,9.908416748,10.55589294,10.45920467,10.00372791,9.886072159,10.94211483,10.62725163,9.943376541,9.709181786,9.532828331,10.10141182,10.84235954,9.680957794,10.19180584,10.68944645,9.92723465,8.747608185,9.170714378,9.168780327,8.848818779,8.645606041,8.250973701,8.431473732,8.38580513,8.553933144,9.154973984,8.558009148,8.548779488,9.975681305,10.14625072,11.0388031,11.9023695,14.96683598,11.74857616,13.66780853,12.00566673,12.54214287,11.86214447,12.93333435,12.71181393,12.90290833,14.05568218,16.39512253,17.41157722,17.87245178,18.09818077,18.32298088,15.83571339,14.88185692,15.98351765,19.41508865,22.66134071,23.07547569,21.63524628,18.00382996,16.12789726,16.86220551,16.65009499,18.45410728,16.35735893
"Arkansas",11.41971397,11.90188694,10.05204105,9.783608437,10.8047514,11.91493416,11.08788872,11.25520229,12.73581409,12.58300018,13.49060822,14.23181534,12.92941761,12.88243961,11.22482014,12.78616333,14.06285095,14.98555279,14.33498573,16.50842667,14.97598553,15.65206528,15.90382767,16.58065796,17.99571419,13.71157074,13.38378239,10.97887039,10.95754433,13.4251833,13.36074734,12.12408066,11.95920563,12.83459568,11.3331356,10.55271816,10.49228859,12.62004089,11.33127022,11.31190205,10.08943558,10.89493465,11.18720055,10.66743183,10.74574757,10.88145733,11.09479237,12.45202637,13.35164452,11.94287586,11.5250721,11.85548401,11.32751274,10.12246132,10.54277325,10.58777809,10.48117924,10.38550377,10.05329418,10.25203896,10.45819569,9.51279068,10.30357265,10.04799271,9.641844749,10.9121027,12.06117153,11.8098774,12.47708225,14.7768364,11.38765144,13.61904049,11.77318573,12.40840435,11.84529591,12.73433018,12.1039772,12.82287788,12.93357182,12.82394886,14.08539486,15.82447052,15.52184677,16.08039093,14.88570023,14.23564434,14.28219509,15.5980444,16.67526817,16.44952965,17.38990021,16.99254227,17.30979729,17.43770218,17.6618557,21.046875,17.07005882
"California",15.38890266,15.22562027,15.38722134,13.05725765,13.7338438,14.58980179,13.74531841,15.11767673,16.68078613,17.70888901,17.93933296,20.47963333,17.92638969,14.75707245,13.26826477,13.11362457,13.59761524,14.84755516,15.36631298,17.15793228,15.77047062,14.11810875,13.78698921,13.55748177,13.38120651,11.56971264,11.06895638,10.02181053,11.00261116,11.62501812,10.7108469,12.36385632,11.54211426,12.78270054,11.7899971,10.32971191,9.21945858,10.37918949,10.64575863,9.457140923,9.164719582,9.496524811,9.910672188,9.332025528,9.702137947,8.835660934,8.765789032,9.503493309,9.845918655,9.140298843,9.90674305,10.30134201,9.405918121,8.31540966,8.684988022,9.05818367,8.748606682,8.633803368,8.323926926,8.497420311,8.896114349,8.90472126,10.23918056,9.905414581,10.09115696,10.29604816,10.88375759,11.48735046,12.45278549,15.77325153,13.00507069,16.196661,15.91059208,16.38671112,14.38317204,15.03309917,14.3657856,14.34832001,15.66066647,17.36969566,19.06697464,19.79747772,24.02975273,28.91013718,20.07935524,17.68755722,19.0779686,21.68177032,24.20210838,24.02518272,24.60083199,20.67294502,18.77615166,22.0317955,21.50404358,26.38096428,22.71503448
"Colorado",13.65075207,10.53810787,12.37408733,11.41890335,12.01922512,13.9623251,12.40613842,13.37125874,16.35177231,16.11135864,17.75653267,19.76434708,17.34632874,15.08512878,15.02291298,14.48404598,13.88170147,17.01503944,16.4702301,18.35692787,17.86750221,15.15496159,15.69714737,15.2870245,15.42637634,13.33747768,13.23536587,11.82869625,12.83758736,13.27193737,12.12613106,12.76593494,11.05671978,13.02725029,11.34318161,11.20348835,9.645040512,11.09942818,10.9932394,11.45851803,9.464520454,9.59112072,9.535655975,9.183785439,9.882745743,9.243542671,9.468811035,9.456905365,9.329995155,8.940520287,9.453904152,9.984184265,9.44599247,7.986058712,8.502223969,8.738717079,8.199412346,8.214017868,8.037535667,7.751739502,8.294214249,8.246873856,9.025712967,9.305003166,9.48320961,9.929408073,10.55977726,10.92870998,11.18357372,13.28929329,10.15396404,12.51917839,11.35723305,12.17846203,11.61428928,12.89468479,12.94447327,13.3146534,13.75928211,14.9244442,16.29483032,17.68524933,19.01176643,21.16952896,16.48262405,15.00291348,15.47705269,18.11749268,19.56089401,21.30145264,21.2737751,18.06598091,15.40491867,17.63902283,18.78556442,21.24749184,16.91086006
"Connecticut",19.56022453,17.37902069,16.99032402,14.46573353,16.87301254,17.05309677,16.58732224,19.01355743,21.83682442,20.49133873,21.69507027,24.24732971,24.15105057,17.53517723,15.36393738,15.72991276,16.17339706,15.91551495,17.40538597,20.85008049,19.08215523,16.16207123,17.13949585,17.10585213,15.33958435,12.73367691,11.82687759,11.17400074,12.71593952,12.90228367,11.44410896,12.15323734,11.97579861,13.50427055,11.75495148,12.08607006,9.680392265,10.86566067,11.21526337,10.93408871,9.635712624,10.52299881,10.45306492,10.32422733,10.74469471,9.772614479,9.683961868,11.4109602,12.17474079,11.3424511,12.67294502,14.53290653,12.17079067,9.887606621,10.4783802,10.69216251,9.417341232,9.34046936,9.05045414,9.412061691,9.924578667,10.11849594,11.63451385,12.2391777,11.85625267,12.3467617,13.07645035,13.58421326,14.63734531,19.55488014,15.58968353,19.36516953,17.51130676,16.99235153,16.27132034,19.19958115,18.4280262,17.36241531,19.75510597,22.20764542,26.11965179,28.10654449,29.57458687,32.71558762,29.65802574,23.8102417,25.50709724,28.55860519,31.01522827,31.74642181,36.06892014,29.42872429,26.75094414,32.70521164,29.90021133,34.42226028,30.82683372
"Delaware",38.89987564,33.79666901,31.23406029,21.4893856,22.32103157,23.51999664,23.29258347,29.85939026,36.30644226,39.02811432,43.16082382,46.17874527,38.99631119,28.76996994,25.79257202,29.41201401,30.1815815,33.41150665,35.76476288,44.93468475,40.81065369,33.84333038,43.13714218,38.28456116,29.64264297,18.98009491,18.24271202,17.41736794,19.98840904,21.43099213,19.92983055,21.34002876,23.67163658,28.26605988,22.56882668,18.74965668,18.34812546,21.39858246,23.40069962,18.40008926,18.50309753,18.17619133,18.5292263,17.08806801,17.53149986,16.94824791,17.13990402,23.39656067,25.28660965,17.08176613,15.41654778,14.13422203,13.14455509,11.3821516,11.21992397,11.13788223,10.84646893,9.7684021,8.511742592,8.893382072,9.301573753,9.37947464,10.16464233,10.1928215,10.06297112,9.770525932,10.18346405,10.70804214,10.99631023,13.81067276,10.69371796,12.80632782,11.49162865,11.38918209,11.0237751,11.96612835,11.90360832,11.99709702,12.76714611,14.36683273,16.55533791,16.63471985,16.84117126,17.9433403,14.85995579,14.15916634,15.0870657,18.37724304,21.38478279,19.1362648,18.70779991,16.3303051,13.90790844,13.33821869,13.58699799,15.13509083,13.2539978
"District of Columbia",21.67167473,19.27951813,18.60202599,16.79376793,13.73854446,17.42218781,14.97632027,18.16314888,22.31522942,22.13463974,23.48908424,24.70029068,18.4054966,14.05899429,12.73550701,11.15511036,11.70526028,12.22322941,12.65127659,14.18100834,13.11373901,11.88338947,11.91861725,11.77391338,12.39963722,10.52072906,9.90749073,9.032305717,9.976005554,10.21991253,9.495558739,9.761268616,9.200728416,10.9071722,10.43994045,9.430936813,9.397249222,10.66812038,11.43587399,11.31400394,10.61461449,10.52457047,13.38284492,11.25576496,11.44390583,10.91058064,10.87956047,12.27420807,11.44499111,11.18693924,10.94800854,10.97547436,11.13861942,10.45381165,10.51058769,10.77006626,9.806385994,9.419451714,8.831315994,9.124536514,9.386857033,10.67677307,13.06532955,14.48427391,14.34109116,14.75729465,15.46600819,16.44564629,18.06186676,23.27763557,17.99764252,20.73732376,18.08148003,16.92721558,15.57275867,16.38273239,15.68656254,17.3335228,15.90213203,18.41277885,20.35056305,23.49054146,16.98719025,28.14702797,21.89526367,19.34389877,21.49863434,22.26527786,23.94168282,23.7484684,25.02799606,19.78139305,20.14299011,20.34712219,19.89113426,25.09031487,19.64234543
"Florida",18.00313187,18.23363113,15.9705286,15.67060661,15.34899712,17.13795853,16.67664337,17.83032608,13.77814293,15.78155899,17.93301964,22.72625542,18.96242905,15.8137331,16.70492554,15.37528515,16.34342003,18.02761078,20.8049221,24.59224129,23.90591621,21.20311546,20.38456917,21.44264984,18.92460632,14.6006155,12.95761681,11.65446854,12.72063923,14.95885468,13.23978901,13.58421326,12.79434586,14.6599102,13.794981,12.36906815,11.62673187,12.5672226,13.20050049,13.50617123,12.14399433,11.51538658,12.31215572,11.38602734,11.96638966,11.3098135,11.34380627,12.5863142,12.88660145,11.8443079,12.46614552,13.51022911,12.35138607,10.63887978,11.59799004,12.4193697,11.49781704,10.96720028,10.20588112,10.15473557,10.57164288,10.73345184,12.37230778,12.22562122,12.02534866,14.0857296,14.48572445,15.66842937,16.50107193,22.43113518,16.7260437,21.35477066,19.07000542,18.25027275,16.67484093,19.06367111,17.9618206,18.20651817,18.97967339,21.14766884,23.58310699,24.3831234,24.18868065,25.44050217,21.86517906,20.86450577,20.71779633,26.55436707,31.77565575,31.24887085,30.38053703,25.66654587,22.7454319,23.63547134,24.64322472,30.45129395,25.76969147
