Year,State,Top10_adj,Top5_adj,Top1_adj,Top05_adj,Top01_adj,Top001_adj
1917,Alabama,30.73694229,21.72307205,14.69934464,10.87990284,5.478880405,1.863416314
1918,Alabama,30.24928284,24.58886147,11.71613216,8.256793976,3.785542488,1.027507424
1919,Alabama,31.84976387,26.4356842,13.43721199,9.773516655,4.572405815,1.211457372
1920,Alabama,32.97611618,27.25469398,12.32191658,8.940459251,4.115619659,1.116580725
1921,Alabama,35.41423416,30.72296333,13.7149744,9.686889648,4.453303814,1.385330081
1922,Alabama,35.35566711,30.60302162,14.40902042,10.26449585,4.771714687,1.253470182
1923,Alabama,34.71931839,29.25240326,13.67565441,10.0326376,4.847818851,1.498197913
1924,Alabama,35.48809433,30.5770359,14.84949207,10.83817005,5.200247288,1.530255437
1925,Alabama,34.22441101,26.51398849,16.15468788,11.86155987,5.444741249,1.461099386
1926,Alabama,34.44676208,25.6788559,15.4890995,11.42810726,5.261078835,1.501413584
1927,Alabama,33.7733078,25.96710587,15.91982555,11.77772045,5.433860302,1.571977854
1928,Alabama,34.97292328,27.26556015,17.99867439,13.90391636,7.724684238,3.770342827
1929,Alabama,31.38139725,23.15338898,14.54164028,10.78292942,5.276401997,1.892065883
1930,Alabama,32.57480621,23.33937836,14.68599224,10.53368378,5.022865772,1.643731475
1931,Alabama,34.04290771,23.02701378,14.77752876,10.39919472,4.627228737,1.354291201
1932,Alabama,33.97402191,24.04661369,15.12842083,10.22144699,4.37310791,1.276978612
1933,Alabama,32.24321747,22.98224831,14.81413746,10.14900494,4.486961842,1.525415063
1934,Alabama,32.28430557,23.38205147,14.21224022,9.871196747,4.258734703,1.174098253
1935,Alabama,32.60736847,24.03479958,14.54164028,10.20659256,4.473165989,1.202759504
1936,Alabama,33.84672165,26.54443932,16.1590786,11.81415272,5.531070232,1.418543935
1937,Alabama,35.4458847,28.64481163,15.88813686,11.55376244,5.393600941,1.45291996
